name,sn_type,redshift,mult_sn_flag,galaxy_name,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,class
SN 2013K,II P,,,E009-G10,,Sbc,4,41,171,,,12.7,1.32,SUPERNOVA TYPE II
SN 2013ch,IIb,,,E007-G06,,Sdm,7.8,47,60,,,14.7,1.22,SUPERNOVA TYPE II
SN 2006ai,II,,,E005-G09,,SBdm,8,37,112,,,15.64,1.02,SUPERNOVA TYPE II
SN 2012ah,Ia,,Y,NGC7637,,Sc,5.1,23,,,,13.07,1.36,SUPERNOVA TYPE I
SN 1992ao,II,,Y,NGC7637,,Sc,5.1,23,,,,13.07,1.36,SUPERNOVA TYPE II
SN 1991aq,,,,A015239-8138,,S,,,,,,,,SUPERNOVA
SN 2007as,Ia,,,E018-G18,,Sbc,3.8,37,,,,,0.99,SUPERNOVA TYPE I
SN 2010E,II P,,,E013-G28,,Sbc,4,80,3,,,15.19,1.28,SUPERNOVA TYPE II
SN 2004ch,II,,,NGC5612,,Sab,2,59,63,,,13.04,1.27,SUPERNOVA TYPE II
SN 2009J,Ia pec,,Y,IC2160,,SBc,4.7,67,107,,,13.86,1.31,SUPERNOVA TYPE I
SN 2009iw,Ia,,Y,IC2160,,SBc,4.7,67,107,,,13.86,1.31,SUPERNOVA TYPE I
SN 2001ke,,0.36,,A113429-7601,,,,,,,,,,SUPERNOVA
SN 2013H,Ia,,,E036-G19,,SBbc pec,4,68,157,,,13.77,1.3,SUPERNOVA TYPE I
SN 2009gd,Ic,,,NGC5967,,Sc,4.9,54,90,,,12.73,1.46,SUPERNOVA TYPE I
SN 2004M,,,,A003559-7448,,,,,,,,,,SUPERNOVA
SN 2014cu,II P,,,PGC0252921,,Sbc,4,69,83,,,14.94,1.04,SUPERNOVA TYPE II
SN 1998cx,Ia,,Y,NGC6209,,Sbc,3.8,39,10,,,,1.31,SUPERNOVA TYPE I
SN 2009fz,IIb,,Y,NGC6209,,Sbc,3.8,39,10,,,,1.31,SUPERNOVA TYPE II
SN 2014ca,II P,,,A165320-7230,,,,,,,,,,SUPERNOVA TYPE II
SN 2013B,Ia,,,E060-G26,,S0,-2,39,140,,,14.49,1.01,SUPERNOVA TYPE I
SN 2002B,Ia,0.143,,A054046-7151,,,,,,,,,,SUPERNOVA TYPE I
SN 2004ga,II,0.11,,A055811-7137,,,,,,,,,,SUPERNOVA TYPE II
SN 2010gw,II P,,,IC4992,,SBc,5.2,84,55,,,14.48,1.35,SUPERNOVA TYPE II
SN 2003gh,Ia,,,NGC2466,,Sc,5.3,27,20,,,13.54,1.19,SUPERNOVA TYPE I
SN 1998er,,,,GH09-02,,SBb,,,,,,,,SUPERNOVA
SN 1992U,II,,,E074-G04,G,SBc,5,77,70,,,14.85,1.03,SUPERNOVA TYPE II
SN 2014bx,Ia,,,NGC6808,,Sab pec,1.5,60,40,,,13.65,1.18,SUPERNOVA TYPE I
SN 2004O,,,,A044344-7028,,,,,,,,,,SUPERNOVA
SN 2013cz,II P,,,IC4892,,Sbc,3.9,78,3,,,15.74,1.23,SUPERNOVA TYPE II
SN 2003ma,IIn,0.289,,A053101-7004,,,,,,,,,,SUPERNOVA TYPE II
SN 2012dk,Ia,,,E050-G06,,SBcd,6,37,89,,,14.5,1.24,SUPERNOVA TYPE I
SN 1999ga,II L,,Y,NGC2442,,Sbc pec,3.7,27,,,,11.24,1.74,SUPERNOVA TYPE II
SN 2015F,Ia,,Y,NGC2442,,Sbc pec,3.7,27,,,,11.24,1.74,SUPERNOVA TYPE I
